Country,Proportion of Undernourished in the Population (%),Prevalence of Underweight in Children Under 5 Years,Under 5 Mortality Rate,2014 GHI,Maize import quantity (tonnes),Rice import quantity (tonnes),Potato import quantity (tonnes),Wheat import quantity (tonnes),1990 GHI,1995 GHI,2000 GHI,2005 GHI,2013 GHI,2015 GHI,2016 GHI,,
Afghanistan,,25,9.9,,655,99587,251995,222974,,,,,,35.4,34.8,,
Albania,7.8,6.3,1.7,5.3,64685,21721,18113,254225,9.2,6.0,7.8,6.1,5.2,13.2,11.9,,
Algeria,2.4,3.6,2,<5,3218998,120853,136802,6304734,7.0,7.7,5.3,<5,<5,8.7,8.7,,
Angola,24.4,11.3,16.4,17.4,37502,430625,37652,11,39.5,38.5,31.6,22.7,19.1,32.6,32.8,,
Argentina,3.4,2.3,1.4,<5,2857,5656,738,151,<5,<5,<5,<5,<5,<5,<5,,
Armenia,2.6,5.3,1.6,<5,80641,9766,2102,345459,,10.2,8.2,<5,<5,11.2,8.7,,
Azerbaijan,1.1,4.1,3.5,<5,138770,17241,62535,1451257,,14.5,11.9,5.4,<5,10,9.8,,
Bahrain,,,1,,6486,88042,20058,67660,,,,,,,,,
Bangladesh,16.3,36.8,4.1,19.1,446397,260256,1340,3376956,36.7,35.1,24.0,20.2,19.4,27.3,27.1,,
Belarus,0.4,0.8,0.5,<5,84746,30217,11381,44876,,<5,<5,<5,<5,<5,<5,,
Benin,6.1,18.4,9,11.2,1059,1374002,255,23612,22.5,20.5,17.3,15.2,13.3,21.8,23.2,,
Bhutan,,12.8,4.5,,2257,7948,5284,4992,,,,,,,,,
Bolivia,21.3,4.4,4.1,9.9,2931,36244,21796,145274,18.8,16.9,14.2,13.8,11.2,16.9,15.4,,
Bosnia & Herzegovina,2.2,1.5,0.7,<5,223325,7049,23527,279442,,<5,<5,<5,<5,<5,<5,,
Botswana,25.7,9.2,5.3,13.4,190061,24737,16004,105346,16.8,17.0,17.8,16.3,13.9,23.1,23,,
Brazil,6.9,2.1,1.4,<5,911387,737363,29180,7273279,8.7,7.6,6.4,<5,<5,<5,<5,,
Bulgaria,7.2,1.8,1.2,<5,41408,27057,41680,26693,<5,<5,<5,<5,<5,8.5,8.3,,
Burkina Faso,25,24.4,10.2,19.9,1945,439080,3487,78617,26.9,22.7,26.1,26.6,22.2,31.8,31,,
Burundi,67.3,29.1,10.4,35.6,12067,18061,6794,47133,33.8,38.1,39.5,39.5,38.8,,,,
Cambodia,15.4,29,4,16.1,1026,41084,2,22657,32.2,30.7,27.8,20.9,16.8,22.6,21.7,,
Cameroon,13.3,15.1,9.5,12.6,13309,753263,76,494788,23.7,23.8,20.3,16.3,14.5,24.2,22.9,,
Central African Republic,28.2,23.5,12.9,21.5,269,7981,0,0,30.7,29.4,28.0,28.5,23.3,46.9,46.1,,
Chad,29.4,30.3,15,24.9,17791,1016,140,30000,38.8,34.9,29.8,29.7,26.9,46.4,44.3,,
Chile,3,0.5,0.9,<5,1097937,112637,8569,940368,<5,<5,<5,<5,<5,<5,<5,,
China,11.4,3.4,1.4,5.4,7340767,2718094,35169,6830683,13.0,10.4,8.4,6.7,5.5,8.6,7.7,,
Colombia,10.6,3.4,1.8,5.3,3635280,151646,24,1413789,10.4,8.0,6.8,6.9,5.9,8.8,8.5,,
Comoros,65.3,15.3,7.8,29.5,310,39681,130,0,24.0,27.5,33.3,29.8,33.6,,,,
Congo,33,35.8,24.2,18.1,103,41541,1714,104567,23.7,23.9,19.3,18.4,20.5,26.6,26.6,,
Costa Rica,8.2,1.1,1,<5,670634,84900,3737,225450,<5,<5,<5,<5,<5,<5,<5,,
Croatia,1.4,0.3,0.5,<5,23245,10627,29384,26017,,5.4,<5,<5,<5,<5,<5,,
Cuba,0.6,2.1,0.6,<5,769144,459672,6291,778471,5.5,7.4,<5,<5,<5,<5,<5,,
Djibouti,20.5,29.8,8.1,19.5,15109,92944,14514,679624,33.5,28.5,27.7,24.0,19.5,33.2,32.7,,
Dominican Republic,15.6,2.8,2.7,7,970000,65068,10500,500000,14.9,11.7,9.7,8.8,7.0,10.8,11.1,,
Ecuador,16.3,5,2.3,7.9,138276,602,0,559240,14.0,11.6,12.3,10.1,8.5,14,13.9,,
"Egypt, Arab Rep.",1.3,4.5,2.1,<5,5771770,20360,184477,10288434,7.0,6.2,5.2,<5,<5,13.5,13.7,,
El Salvador,11.9,5.1,1.6,6.2,321190,67224,68894,243829,10.9,8.7,7.4,6.4,6.8,11.1,11.2,,
Eritrea,61.3,34.8,5.2,33.8,792,434,,54041,,40.6,40.2,39.3,35.0,,,,
Estonia,3.3,0.7,0.4,<5,30152,3870,2804,28379,,<5,<5,<5,<5,<5,<5,,
Ethiopia,37.1,29.2,6.8,24.4,18424,154841,46,1618382,42.3,42.7,37.1,31.0,25.7,33.9,33.4,,
Fiji,2.7,6.3,2.2,<5,52,38923,22917,161029,5.8,5.1,<5,<5,<5,8.7,8.5,,
Gabon,5.6,6.5,6.2,6.1,447,83846,532,102705,9.7,8.0,7.8,6.9,7.2,12.5,12,,
"Gambia, The",16,17.4,7.3,13.6,0,69699,1493,12600,19.1,20.4,16.1,15.6,14.0,21.5,20.9,,
Georgia,,1.1,2,,56249,12058,10165,654420,,16.6,9.2,11.3,9.3,8.5,8.2,,
Ghana,2.9,13.4,7.2,7.8,3172,644328,2062,261255,25.5,19.6,15.6,10.7,8.2,15.5,13.9,,
Guatemala,30.5,13,3.2,15.6,689013,71561,3960,462759,15.0,16.1,17.0,17.0,15.5,21.1,20.7,,
Guinea,15.2,17.5,10.1,14.3,822,363755,426,4863,21.4,21.2,22.4,18.2,16.9,28.8,28.1,,
Guinea-Bissau,10.1,18.1,12.9,13.7,776,76193,519,,21.7,20.8,20.6,17.7,14.3,30.3,27.4,,
Guyana,5,11.1,3.5,6.5,23501,37,8416,38443,14.3,10.2,8.2,8.0,6.6,14.4,14.5,,
Haiti,49.8,11.6,7.6,23,17676,424517,2489,85000,33.8,31.7,25.7,27.0,23.3,37.3,36.9,,
Honduras,8.7,7.1,2.3,6,336064,86557,2187,236407,14.2,13.6,10.8,8.5,7.9,13.4,13.2,,
India,17,30.7,5.6,17.8,11628,1323,0,11644,32.6,27.1,24.8,24.0,21.3,29,28.5,,
Indonesia,9.1,18.6,3.1,10.3,3191045,472239,56941,6737512,19.7,16.9,15.5,14.6,10.1,22.1,21.9,,
"Iran, Islamic Rep.",4.5,4.1,1.8,<5,4005482,2180127,468,4388441,8.5,7.4,6.1,<5,<5,6.8,6.7,,
Iraq,26.2,8.5,3.4,12.7,11519,1317732,176605,2241683,,,,,,22.2,22,,
Jamaica,8.6,3.2,1.7,<5,175936,81270,3468,189514,5.9,5.0,<5,<5,<5,8.1,7.9,,
Jordan,3.1,3,1.9,<5,557942,148990,74550,680677,5.1,5.2,<5,<5,<5,5.8,5.7,,
Kazakhstan,0.4,3.7,1.9,<5,807,16819,112323,1160,,<5,5.3,<5,<5,8,7.8,,
Kenya,25.8,16.4,7.3,16.5,93473,412411,762,1043600,21.4,21.0,20.5,20.2,18.0,24,21.9,,
